,Year,Title,Decision,Abstract
0,2017,Decoupled Neural Interfaces using Synthetic Gradients,Oral/Poster,"Training directed neural networks tyically requires forward-roagating data through a comutation grah, followed by backroagating error signal, to roduce weight udates. All layers, or more generally, modules, of the network are therefore locked, in the sense that they must wait for the remainder of the network to execute forwards and roagate error backwards before they can be udated. In this work we break this constraint by decouling modules by introducing a model of the future comutation of the network grah. These models redict what the result of the modelled subgrah will roduce using only local information. In articular we focus on modelling error gradients: by using the modelled \emh{synthetic gradient} in lace of true backroagated error gradients we decoule subgrahs, and can udate them indeendently and asynchronously \ie~we realise \emh{decouled neural interfaces}. We show results for feed-forward models, where every layer is trained asynchronously, recurrent neural networks (RNNs) where redicting one's future gradient extends the time over which the RNN can effectively model, and also a hierarchical RNN system with ticking at different timescales. Finally, we demonstrate that in addition to redicting gradients, the same framework can be used to redict inuts, resulting in models which are decouled in both the forward and backwards ass -- amounting to indeendent networks which co-learn such that they can be comosed into a single functioning cororation.
"
1,2017,PixelCNN Models with Auxiliary Variables for Natural Image Modeling,Oral/Poster,"We study robabilistic models of natural images and extend the autoregressive family of PixelCNN models by incororating auxiliary variables. Subsequently, we describe two new generative image models that exloit different image transformations as auxiliary variables: a quantized grayscale view of the image or a multi-resolution image yramid. The roosed models tackle two known shortcomings of existing PixelCNN models: 1) their tendency to focus on low-level image details, while largely ignoring high-level image information, such as object shaes, and 2) their comutationally costly rocedure for image samling. We exerimentally demonstrate benefits of our models, in articular showing that they roduce much more realistically looking image samles than revious state-of-the-art robabilistic models.
"
2,2017,Tight Bounds for Approximate Carathéodory and Beyond,Oral/Poster,"We resent a deterministic nearly-linear time algorithm for aroximating any oint inside a convex olytoe with a sarse convex combination of the olytoe's vertices. Our result rovides a constructive roof for the Aroximate Carathéodory Problem, which states that any oint inside a olytoe contained in the $\ell_$ ball of radius $D$ can be aroximated to within $\esilon$ in $\ell_$ norm by a convex combination of $O\left(D^2 \esilon^2\right)$ vertices of the olytoe for $ \geq 2$. While for the articular case of $=2$, this can be achieved by the well-known Percetron algorithm, we follow a more rinciled aroach which generalizes to arbitrary $\geq 2$; furthermore, this naturally extends to domains with more comlicated geometry, as it is the case for roviding an aroximate Birkhoff-von Neumann decomosition. Secondly, we show that the sarsity bound is tight for $\ell_$ norms, using an argument based on anti-concentration for the binomial distribution, thus resolving an oen question osed by Barman. Exerimentally, we verify that our deterministic otimization-based algorithms achieve in ractice much better sarsity than reviously known samling-based algorithms. We also show how to aly our techniques to SVM training and rounding fractional oints in matroid and flow olytoes."
3,2017,Robust Adversarial Reinforcement Learning,Oral/Poster,"Dee neural networks couled with fast simulation and imroved comutational seeds have led to recent successes in the field of reinforcement learning (RL). However, most current RL-based aroaches fail to generalize since: (a) the ga between simulation and real world is so large that olicy-learning aroaches fail to transfer; (b) even if olicy learning is done in real world, the data scarcity leads to failed generalization from training to test scenarios (e.g., due to different friction or object masses). Insired from H-infinity control methods, we note that both modeling errors and differences in training and test scenarios can just be viewed as extra forcesdisturbances in the system. This aer rooses the idea of robust adversarial reinforcement learning (RARL), where we train an agent to oerate in the resence of a destabilizing adversary that alies disturbance forces to the system. The jointly trained adversary is reinforced -- that is, it learns an otimal destabilization olicy. 
We formulate the olicy learning as a zero-sum, minimax objective function. Extensive exeriments in multile environments (InvertedPendulum, HalfCheetah, Swimmer, Hoer, Walker2d and Ant) conclusively demonstrate that our method  (a) imroves training stability;  (b) is robust to differences in trainingtest conditions; and c) outerform the baseline even in the absence of the adversary.
"
4,2017,Robust Probabilistic Modeling with Bayesian Data Reweighting,Oral/Poster,"Probabilistic models analyze data by relying on a set of assumtions.
Data that exhibit deviations from these assumtions can undermine
inference and rediction quality. Robust models offer rotection
against mismatch between a model's assumtions and reality. We
roose a way to systematically detect and mitigate mismatch of a
large class of robabilistic models. The idea is to raise the
likelihood of each observation to a weight and then to infer both the
latent variables and the weights from data. Inferring the weights
allows a model to identify observations that match its assumtions
and down-weight others. This enables robust inference and imroves
redictive accuracy. We study four different forms of mismatch with
reality, ranging from missing latent grous to structure
missecification. A Poisson factorization analysis of the Movielens
1M dataset shows the benefits of this aroach in a ractical
scenario.
"
5,2017,Multi-objective Bandits: Optimizing the Generalized Gini Index,Oral/Poster,"We study the multi-armed bandit (MAB) roblem where the agent receives a vectorial feedback that encodes many ossibly cometing objectives to be otimized. The goal of the agent is to find a olicy, which can otimize these objectives simultaneously in a fair way. This multi-objective online otimization roblem is formalized by using the Generalized Gini Index (GGI) aggregation function. We roose an online gradient descent algorithm which exloits the convexity of the GGI aggregation function, and controls the exloration in a careful way achieving a distribution-free regret $\tilde{\bigO} (T^{-12} )$ with high robability. We test our algorithm on synthetic data as well as on an electric battery control roblem where the goal is to trade off the use of the different cells of a battery in order to balance their resective degradation rates."
6,2017,Communication-efficient Algorithms for Distributed Stochastic Principal Component Analysis,Oral/Poster,"We study the fundamental roblem of Princial Comonent Analysis in a statistical distributed setting in which each machine out of m stores a samle of n oints samled i.i.d. from a single unknown distribution. We study algorithms for estimating the leading rincial comonent of the oulation covariance matrix that are both communication-efficient and achieve estimation error of the order of the centralized ERM solution that uses all mn samles. On the negative side, we show that in contrast to results obtained for distributed estimation under convexity assumtions, for the PCA objective, simly averaging the local ERM solutions cannot guarantee error that is consistent with the centralized ERM. We show that this unfortunate henomena can be remedied by erforming a simle correction ste which correlates between the individual solutions, and rovides an estimator that is consistent with the centralized ERM for sufficiently-large n. 
We also introduce an iterative distributed algorithm that is alicable in any regime of n, which is based on distributed matrix-vector roducts. The algorithm gives significant acceleration in terms of communication rounds over revious distributed algorithms, in a wide regime of arameters.
"
7,2017,Enumerating Distinct Decision Trees,Oral/Poster,"The search sace for the feature selection roblem in decision tree learning is the lattice of subsets of the available features. We rovide an exact enumeration rocedure of the subsets that lead to all and only the distinct decision trees. The rocedure can be adoted to rune the search sace of comlete and heuristics search methods in wraer models for feature selection. Based on this, we design a comutational otimization of the sequential backward elimination heuristics with a erformance imrovement of u to 100X.
"
8,2017,Understanding Synthetic Gradients and Decoupled Neural Interfaces,Oral/Poster,"When training neural networks, the use of Synthetic Gradients (SG) allows layers or modules to be trained without udate locking - without waiting for a true error gradient to be backroagated -resulting in Decouled Neural Interfaces (DNIs). This unlocked ability of being able to udate arts of a neural network asynchronously and with only local information was demonstrated to work emirically in Jaderberg et al (2016). However, there has been very little demonstration of what changes DNIs and SGs imose from a functional, reresentational, and learning dynamics oint of view. In this aer, we study DNIs through the use of synthetic gradients on feed-forward networks to better understand their behaviour and elucidate their effect on otimisation. We show that the incororation of SGs does not affect the reresentational strength of the learning system for a neural network, and rove the convergence of the learning system for linear and dee linear models. On ractical roblems we investigate the mechanism by which synthetic gradient estimators aroximate the true loss, and, surrisingly, how that leads to drastically different layer-wise reresentations. Finally, we also exose the relationshi of using synthetic gradients to other error aroximation techniques and find a unifying language for discussion and comarison. 
"
9,2017,Parallel Multiscale Autoregressive Density Estimation,Oral/Poster,"PixelCNN achieves state-of-the-art results in density estimation for natural images. Although training is fast, inference is costly, requiring one network evaluation er ixel; O(N) for N ixels. This can be sed u by caching activations, but still involves generating each ixel sequentially. In this work, we roose a arallelized PixelCNN that allows more efficient inference by modeling certain ixel grous as conditionally indeendent. Our new PixelCNN model achieves cometitive density estimation and orders of magnitude seedu - O(log N) samling instead of O(N) - enabling the ractical generation of 512x512 images. We evaluate the model on class-conditional image generation, text-to-image synthesis, and action-conditional video generation, showing that our model achieves the best results among non-ixel-autoregressive density models that allow efficient samling.
"
