,Year,Title,Decision,Abstract
0,2019,Challenging Common Assumptions in the Unsupervised Learning of Disentangled Representations,Oral,"The key idea behind the unsuervised learning of disentangled reresentations is that real-world data is generated by a few exlanatory factors of variation which can be recovered by unsuervised learning algorithms.
In this aer, we rovide a sober look at recent rogress in the field and challenge some common assumtions.
We first theoretically show that the unsuervised learning of disentangled reresentations is fundamentally imossible without inductive biases on both the models and the data.
Then, we train more than $12000$ models covering most rominent methods and evaluation metrics in a reroducible large-scale exerimental study on seven different data sets.
We observe that while the different methods successfully enforce roerties ``encouraged'' by the corresonding losses, well-disentangled models seemingly cannot be identified without suervision.
Furthermore, increased disentanglement does not seem to lead to a decreased samle comlexity of learning for downstream tasks. 
Our results suggest that future work on disentanglement learning should be exlicit about the role of inductive biases and (imlicit) suervision, investigate concrete benefits of enforcing disentanglement of the learned reresentations, and consider a reroducible exerimental setu covering several data sets."
1,2019,Data Shapley:  Equitable Valuation of Data for Machine Learning,Oral,"As data becomes the fuel driving technological and economic growth, a fundamental challenge is how to quantify the value of data in algorithmic redictions and decisions. 
For examle, in healthcare and consumer markets, it has been suggested that individuals should be comensated for the data that they generate, but it is not clear what is an equitable valuation for individual data.
In this work, we develo a rinciled framework to address data valuation in the context of suervised machine learning. Given a learning algorithm trained on $n$ data oints to roduce a redictor, we roose data Shaley as a metric to quantify the value of each training datum to the redictor erformance. Data Shaley uniquely satisfies several natural roerties of equitable data valuation. We develo Monte Carlo and gradient-based methods to efficiently estimate data Shaley values in ractical settings where comlex learning algorithms, including neural networks, are trained on large datasets. In addition to being equitable, extensive exeriments across biomedical, image and synthetic data demonstrate that data Shaley has several other benefits: 1) it is more owerful than the oular leave-one-out or leverage score in roviding insight on what data is more valuable for a given learning task; 2)  low Shaley value data effectively cature outliers and corrutions; 3)  high Shaley value data inform what tye of new data to acquire to imrove the redictor.  "
2,2019,ELF OpenGo: an analysis and open reimplementation of AlphaZero,Oral,"The AlhaGo, AlhaGo Zero, and AlhaZero series of algorithms are remarkable demonstrations of dee reinforcement learning's caabilities, achieving suerhuman erformance in the comlex game of Go with rogressively increasing autonomy. However, many obstacles remain in the understanding of and usability of these romising aroaches by the research community. Toward elucidating unresolved mysteries and facilitating future research, we roose ELF OenGo, an oen-source reimlementation of the AlhaZero algorithm. ELF OenGo is the first oen-source Go AI to convincingly demonstrate suerhuman erformance with a erfect (20:0) record against global to rofessionals. We aly ELF OenGo to conduct extensive ablation studies, and to identify and analyze numerous interesting henomena in both the model training and in the gamelay inference rocedures. Our code, models, selflay datasets, and auxiliary data are ublicly available.
"
3,2019,Regret Circuits: Composability of Regret Minimizers,Oral,"Regret minimization is a owerful tool for solving large-scale roblems; it was recently used in breakthrough results for large-scale extensive-form game solving. This was achieved by comosing simlex regret minimizers into an overall regret-minimization framework for extensive-form game strategy saces. In this aer we study the general comosability of regret minimizers. We derive a calculus for constructing regret minimizers for comosite convex sets that are obtained from convexity-reserving oerations on simler convex sets. We show that local regret minimizers for the simler sets can be combined with additional regret minimizers into an aggregate regret minimizer for the comosite set. As one alication, we show that the CFR framework can be constructed easily from our framework. We also show ways to include curtailing (constraining) oerations into our framework. For one, they enables the construction of CFR generalization for extensive-form games with general convex strategy constraints that can cut across decision oints.
"
4,2019,Refined Complexity of PCA with Outliers,Oral,"Princial comonent analysis (PCA) is one of the most fundamental rocedures in exloratory data analysis and is the basic ste in alications ranging from quantitative finance and bioinformatics to image analysis and neuroscience. However, it is well-documented that the alicability of PCA in many real scenarios could be constrained by an “immune deficiency” to outliers such as corruted observations. We consider the following algorithmic question about the PCA with outliers. For a set of n oints in R^d, how to learn a subset of oints, say 1% of the total number of oints, such that the remaining art of the oints is best fit into some unknown r-dimensional subsace? We rovide a rigorous algorithmic
analysis of the roblem. We show that the roblem is solvable in time n^O(d^2) . In articular, for constant dimension the roblem is solvable in olynomial time. We comlement the algorithmic result by the lower bound, showing that unless Exonential Time Hyothesis fails, in time f(d) n^o(d), for any function f of d, it is imossible not only to solve the roblem exactly but even to aroximate it within a constant factor.
"
5,2019,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,Oral,"We consider the roblem of selective rediction (also known as reject otion) in dee neural networks, and introduce SelectiveNet, a dee neural architecture with an integrated reject otion. Existing rejection mechanisms are based mostly on a threshold over the rediction confidence of a re-trained network. In contrast, SelectiveNet is trained to otimize both classification (or regression) and rejection simultaneously, end-to-end.  The result is a dee neural network that is otimized over the covered domain. In our exeriments, we show a consistently imroved risk-coverage trade-off over several well-known classification and regression datasets, thus reaching new state-of-the-art results for dee selective classification.
"
6,2019,PA-GD: On the Convergence of Perturbed Alternating Gradient Descent to Second-Order Stationary Points for Structured Nonconvex Optimization,Oral,"Alternating gradient descent (A-GD) is a simle but oular algorithm  in machine learning, which udates two blocks of variables in an alternating manner using gradient descent stes. %, in which a gradient ste is taken on one block, while keeing the remaining block fixed.
In this aer, we consider a smooth unconstrained nonconvex otimization roblem, and roose a {\bf }erturbed {\bf A}-{\bf GD} (PA-GD) which is able to converge (with high robability) to the second-order stationary oints (SOSPs) with a global sublinear rate. {Existing analysis on A-GD tye algorithm either only guarantees convergence to first-order solutions, or converges to second-order solutions asymtotically (without rates).} To the best of our knowledge, this is the first alternating tye algorithm that takes $\mathcal{O}(\text{olylog}(d)\esilon^2)$ iterations to achieve an ($\esilon,\sqrt{\esilon}$)-SOSP with high robability, where olylog$(d)$ denotes the olynomial of the logarithm with resect to roblem dimension $d$."
7,2019,Adversarial Attacks on Node Embeddings via Graph Poisoning,Oral,"The goal of network reresentation learning is to learn low-dimensional node embeddings that cature the grah structure and are useful for solving downstream tasks. However, desite the roliferation of such methods, there is currently no study of their robustness to adversarial attacks. We rovide the first adversarial vulnerability analysis on the widely used family of methods based on random walks. We derive efficient adversarial erturbations that oison the network structure and have a negative effect on both the quality of the embeddings and the downstream tasks. We further show that our attacks are transferable since they generalize to many models, and are successful even when the attacker is restricted. The code and the data is rovided in the sulementary material.
"
8,2019,Validating Causal Inference Models via Influence Functions,Oral,"The roblem of estimating causal effects of treatments from observational data falls beyond the realm of suervised learning — because counterfactual data is inaccessible, we can never observe the true causal effects. In the absence of ""suervision"", how can we evaluate the erformance of causal inference methods? In this aer, we use influence functions — the functional derivatives of a loss function — to develo a model validation rocedure that estimates the estimation error of causal inference methods. Our rocedure utilizes a Taylor-like exansion to aroximate the loss function of a method on a given dataset in terms of the influence functions of its loss on a ""synthesized"", roximal dataset with known causal effects. Under minimal regularity assumtions, we show that our rocedure is consistent and efficient. Exeriments on 77 benchmark datasets show that using our rocedure, we can accurately redict the comarative erformances of state-of-the-art causal inference methods alied to a given observational study.
"
9,2019,A Contrastive Divergence for Combining Variational Inference and MCMC,Oral,"We develo a method to combine Markov chain Monte Carlo (MCMC) and variational inference (VI), leveraging the advantages of both inference aroaches. Secifically, we imrove the variational distribution by running a few MCMC stes. To make inference tractable, we introduce the variational contrastive divergence (VCD), a new divergence that relaces the standard Kullback-Leibler (KL) divergence used in VI. The VCD catures a notion of discreancy between the initial variational distribution and its imroved version (obtained after running the MCMC stes), and it converges asymtotically to the symmetrized KL divergence between the variational distribution and the osterior of interest. The VCD objective can be otimized efficiently with resect to the variational arameters via stochastic otimization. We show exerimentally that otimizing the VCD leads to better redictive erformance on two latent variable models: logistic matrix factorization and variational autoencoders (VAEs).
"
